"ERB_CASA";"QTDE_LNHA_POS";"QTDE_LNHA_CTRL";"QTDE_LNHA_PRE";"X";"Y";"ANOMES"
"GOSHJ";9;9;12;-51,730431;-17,872022;202601
"GONQA";254;2916;3606;-48,473194;-14,471633;202601
"GORZA";448;3209;2000;-47,907658;-16,241894;202601
"GOSFD";368;1084;454;-49,24397;-16,65273;202601
"GOARA";186;1097;897;-49,449908;-16,912392;202601
"GOJDU";299;1729;1394;-49,363203;-16,784097;202601
"GO8RG";1;2;8;-49,794806;-16,035361;202601
"GOVDV";560;591;264;-49,269483;-16,727689;202601
"GOMAL";36;968;2208;-46,891;-13,258111;202601
"GO8RC";15;190;194;-50,453567;-18,458087;202601
"GOLAZ";192;1555;998;-48,063253;-16,089022;202601
"GO8XY";0;7;4;-48,308889;-15,762722;202601
"GOIIS";6;106;125;-49,87585;-16,112922;202601
"GOCAD";110;2072;1643;-46,9226;-15,8048;202601
"GOCOC";398;3325;2807;-51,81175;-16,954944;202601
"GOGTD";86;369;211;-49,3751;-18,0337;202601
"GOSRP";141;971;777;-49,085686;-16,690989;202601
"GOROM";57;184;66;-49,268283;-16,615814;202601
"GOAIN";186;794;586;-49,264912;-16,797229;202601
"GORUC";91;1263;969;-49,802839;-15,160883;202601
"GOVAZ";5;111;440;-46,60154;-13,29009;202601
"GOVDE";981;2392;1152;-47,95805;-16,0609;202601
"GOIPU";95;963;701;-49,37323;-16,790244;202601
"GORVI";691;647;353;-50,930331;-17,796022;202601
"GOTCQ";569;293;153;-49,272361;-16,6945;202601
"GOACT";63;684;626;-50,375369;-17,384006;202601
"GOMAR";744;323;119;-49,262311;-16,705581;202601
"GOGNJ";492;359;154;-49,228386;-16,652367;202601
"GOSGG";74;1278;2185;-50,161569;-13,286833;202601
"GOMUM";8;41;193;-48,164792;-14,548156;202601
"GORPJ";18;71;81;-48,80525;-17,422194;202601
"GOVSA";132;395;270;-49,305528;-16,672639;202601
"GOOSA";111;517;349;-49,22918;-16,60927;202601
"GOCCL";33;395;366;-50,916278;-18,69325;202601
"GOATM";79;344;319;-49,224214;-16,851036;202601
"GOCON";46;349;317;-51,788325;-16,911228;202601
"GOSMG";266;2508;3314;-50,1625;-13,275333;202601
"GOAL3";31;795;1658;-46,512461;-14,482539;202601
"GOSAE";29;204;162;-50,312639;-16,202222;202601
"GORVR";203;869;535;-50,888261;-17,790644;202601
"GOAPE";145;754;480;-48,958753;-16,281;202601
"GO8PZ";22;137;121;-51,119806;-16,438583;202601
"GOGNC";306;1287;1064;-49,108797;-15,337278;202601
"GOALP";1312;1732;786;-49,298639;-16,703917;202601
"GOCDN";83;228;141;-48,633694;-17,720889;202601
"GOMSG";227;540;373;-49,282722;-16,623444;202601
"GOCVL";653;592;161;-47,964369;-18,178939;202601
"GOGUO";11;86;139;-49,70478;-14,7333;202601
"GOISA";148;347;226;-49,280361;-16,665269;202601
"GOSHG";385;856;421;-50,607872;-17,817372;202601
"GOALQ";129;1089;769;-48,328306;-15,756486;202601
"GOERA";699;1386;1096;-49,27914;-16,75315;202601
"GOLJL";97;765;489;-47,932839;-16,219181;202601
"GORBD";886;452;162;-49,264028;-16,686944;202601
"GOGBU";647;564;233;-49,281639;-16,693083;202601
"GORVA";172;497;266;-50,902419;-17,783669;202601
"GO8XO";59;140;96;-47,613861;-16,776361;202601
"GOVSH";417;1148;896;-49,281894;-16,657589;202601
"GOALH";3;5;6;-48,273731;-15,735558;202601
"GOVL2";174;1250;815;-48,5205;-16,752781;202601
"GOUNC";91;705;681;-49,678361;-15,508167;202601
"GOPPB";60;235;210;-48,943728;-15,8555;202601
"GOCPV";372;755;545;-49,316592;-16,653217;202601
"GOSA3";29;259;156;-48,273208;-15,9597;202601
"GOPSM";22;184;185;-50,671358;-17,299347;202601
"GOPHI";1;0;8;-49,32938;-16,65425;202601
"GOCJR";145;325;155;-48,62063;-17,75014;202601
"GOTRR";159;1371;1277;-49,425861;-16,642083;202601
"GOCAT";433;1828;906;-47,969944;-18,163639;202601
"GOMUT";985;363;137;-49,267583;-16,701583;202601
"GOVSO";80;316;192;-49,211706;-16,588144;202601
"GO8XK";37;184;121;-49,479381;-16,378161;202601
"GOJPR";363;1864;959;-51,717072;-17,898022;202601
"GOPLA";1;50;100;-49,030411;-14,836469;202601
"GOCLA";727;2695;1147;-47,917178;-18,143031;202601
"GOBSI";4;2;5;-49,276769;-16,741247;202601
"GOVLY";658;1117;656;-49,314167;-16,696389;202601
"GOSRO";47;602;572;-47,229167;-15,100278;202601
"GOVPP";9;201;453;-48,884;-15,459139;202601
"GOVCT";265;2432;2105;-49,807389;-17,728639;202601
"GOSAX";10;191;123;-47,000389;-15,362056;202601
"GOFDO";393;3565;2454;-47,309664;-15,533844;202601
"GO8XU";71;279;142;-47,987056;-16,07225;202601
"GOJKA";494;1443;792;-48,938414;-16,345375;202601
"GOCTU";112;204;124;-48,632028;-17,739083;202601
"GORVJ";609;1678;1100;-50,907922;-17,773089;202601
"GOBAD";140;1236;1268;-48,918111;-14,971669;202601
