"Field Name in Extract","Definition","Data Type","Date Available","Max Field Size","Platform Type"
"attr_geohash7","Geohash 7 is a unique identifier of an area of 152.9m x 152.4m","text","2025-10-24","7","Mobile + Wifi"
"attr_geohash8","Geohash 8 is a unique identifier of an area of 38.2m x 19m","text","2025-10-24","8","Mobile + Wifi"
"attr_connection_tech_name","Detailed connection technology utilized for connection to internet","text","2025-10-24","255","Mobile + Wifi"
"val_signal_timing_advance_ts","LTE Timing Advance measured in Ts.","integer","2025-10-24","16","Mobile"
"id_device_vops_support","A flag indicating if voice over PS (e.g. VoLTE) is available in the cell. For LTE1 = LTE_STATUS_NOT_AVAILABLE2 = LTE_STATUS_SUPPORTED3 = LTE_STATUS_NOT_SUPPORTEDFor NR0 = NR_STATUS_VOPS_NOT_SUPPORTED1 = NR_STATUS_VOPS_3GPP_SUPPORTED2 = NR_STATUS_VOPS_NON_3GPP_SUPPORTED","integer","2025-11-17","5","Mobile+Wifi"
"attr_network_wcdma_additional_plmns","A list of additional PLMN IDs supported by this cell.","text","2025-11-17","255","Mobile+Wifi"
"attr_network_lte_additional_plmns","A list of additional LTE PLMN IDs supported by this cell.","text","2025-11-17","255","Mobile+Wifi"
"attr_network_nr_additional_plmns","A list of additional NR PLMN (Public Land Mobile Network) codes the device is allowed to register on","text","2025-11-17","255","Mobile+Wifi"
"attr_cell_secondary_arfcn","Secondary Absolute Radio Frequency Channel Number (ARFCN). The field can be used for distinguishing the NR leg.","integer","2025-12-30","7","Mobile"
"id_connection_net_speed","User ISP/connection type (estimated). 0 = Unknown, 1 = Dialup, 2 = Cable/DSL, 3 = Corporate and 4=Cellular, 5 = Satellite.","integer","2026-02-18","1","Mobile+Wifi"
"attr_cell_frequency_channel_type","The type of cell frequency channel, such as ARFCN, UARFCN, EARFCN.","text","2026-02-18","6","Mobile"
