"Field Name in Extract","Definition","Data Type","Date Available","Max Field Size"
"cell_bandwidth","The cell bandwidth (in kHz) for the primary serving cell.","number","2022-05-25","4"
"cell_bandwidths","A JSON array of integers representing the cell bandwidths (in kHz) of all serving cells","text","2022-05-25","255"
"is_using_carrier_aggregation","Whether the device is using carrier aggregation","boolean","2022-05-25","5"
"wifi_state","The wifi state at the time of the scan: `0`: disabling`1`: disabled`2`: enabling`3`: enabled`4`: unknown","number","2022-05-25","1"
"wifi_rssi","The wifi Received Signal Strength Indicator, measured in dBm","number","2022-05-25","11"
"wifi_frequency","The frequency (in MHz) of the wifi connection to the router","number","2022-05-25","5"
"wifi_channel","The channel number of the wifi connection to the number (corresponding to the frequency)","number","2022-05-25","5"
"wifi_channel_width","The width of the wifi channel (in MHz), where dual 80-MHz channels are reported as a single `160` value","number","2022-05-25","3"
"nr_ss_rsrp","For NR technology, the Synchronization Signal Reference Signal Received Power (the linear average over the power contributions of the resource elements that carry secondary synchronization signals), measured in Watts","number","2022-05-25","6"
"nr_ss_rsrq","For NR technology, the Synchronization Signal Reference Signal Received Quality (the ratio of N×SS-RSRP and NR carrier RSSI, where N is the number of resource block in the NR carrier RSSI measurement bandwidth)","number","2022-05-25","4"
"nr_ss_sinr","For NR technology, the Synchronization Signal Signal-to-noise and Interference Ratio (the ratio of the linear average over the power contribution of the resource elements carrying secondary synchronization signals to the linear average of the noise and interference power contribution over the resource elements within the same frequency bandwidth)","number","2022-05-25","4"
"nr_csi_rsrp","Nor NR technology, the Channel State Information Reference Signal Received Power (the linear average over the power contributions of the resource elements that carry CSI reference signals configured for RSRP measurements within the considered measurement frequency bandwidth in the configured CSI reference signal occasions), measured in Watts","number","2022-05-25","6"
"nr_csi_rsrq","For NR technology, the Channel State Information Reference Signal Received Quality (the ratio of N×CSI-RSRP to CSI-RSSI, where N is the number of resource blocks in the CSI-RSSI measurement bandwith)","number","2022-05-25","4"
"nr_csi_sinr","For NR technology, the Channel State Information Signal-to-noise and Interference Radio (the ratio of the linear average over the power contribution of the resource elements carrying CSI reference signals to the linear average of the noise and interference power contribution over the resource element carrying CSI reference signals within the same frequency bandwidth)","number","2022-05-25","4"
"nr_level","For NR technology, a computed value characterizing the overall signal quality: `0`: none or unknown`1`: poor`2`: moderate`3`: good`4`: great","number","2022-05-25","3"
"nr_asu","For NR technology, the Arbitrary Strength Unit, an integer value proportional to the Reference Signal Received Power","number","2022-05-25","3"
"nr_arfcn","For NR technology, the Absolute Radio Frequency Channel Number (a code that specifies a pair of reference frequencies used for transmission and reception)","number","2022-05-25","20"
"nr_nci","For NR technology, the NR Cell Identity, a 36-bit unsigned integer, representing the 5G gNB (logical radio node) and its local cell identity","number","2022-05-25","20"
"nr_pci","For NR technology, the Physical Cell ID, an integer in the range [0, 1007], representing individual cells on the radio side","number","2022-05-25","4"
"nr_tac","For NR technology, the Tracking Area Code, the 16-bit integer representing the Tracking Area Code that facilitates handoff between cells, and which can be prepended by the operator MCC and MNC to generate the Tracking Area Identity","number","2022-05-25","9"
"nr_mcc","For NR technology, the Mobile Country Code of the cell the device is connected to","text","2022-05-25","3"
"nr_mnc","Nor NR technology, the Movile Network Code of the cell the device is connected to","text","2022-05-25","3"
"is_access_network_technology_nr","Whether the the cellular access network technoloy is NR, even while connected to wifi as the active data bearer","boolean","2022-05-25","5"
"nr_state","For NR technology, the state of the on-device radio: `0`: None; the device isn't camped on an LTE cell or the LTE cell doesn't support E-UTRA-NR Dual Connectivity (EN-DC).`1`: Restricted; the device is camped on an LTE cell that supports E-UTRA-NR Dual Connectivity (EN-DC), but either the use of dual connectivity with NR (DCNR) is restricted, or NR is not supported by the selected PLMN.`2`: Not restricted; the device is camped on an LTE cell that supports E-UTRA-NR Dual Connectivity (EN-DC) and both the use of dual connectivity with NR (DCNR) is not restricted, and NR is supported by the selected PLMN.`3`: Connected; the device is camped on an LTE cell that supports E-UTRA-NR Dual Connectivity (EN-DC) and also connected to at least one 5G cell as a secondary serving cell.","number","2022-05-25","3"
"nr_frequency_range","For NR technology, the 5G frequency range in use: `0`: unknown`1`: frequency is below 1 GHz`2`: frequency is between 1 GHz and 3 GHz`3`: frequency is between 3 GHz and 6 GHz`4`: frequency is above 6 GHz (mmWave)","number","2022-05-25","3"
"is_nr_available","Whether NR technology is supported by the selected PLMN","boolean","2022-05-25","5"
"is_nr_telephony_sourced","Whether any of the following fields (formatted in snake_case) were sourced from Android's TelephonyManager, rather than from CellInfoNr: ss_rsrp, ss_rsrq, ss_sinr, csi_rsrp, csi_rsrq, csi_sinr, nr_level, nr_arfcn, nci, nr_pci, nr_tac, nr_mcc, nr_mnc","boolean","2022-05-25","5"
"nr_bands","A JSON array of integers representing the 5G bands in use by the device","text","2022-05-25","255"
