"Field Name in Extract","Definition","Data Type","Date Available","Max Field Size"
"id_wifi_standard","The ID of the connection Wi-Fi standard value.0 = unknown1 = legacy; Wi-Fi 802.11a/b/g4 = Wi-Fi 802.11n5 = Wi-Fi 802.11ac6 = Wi-Fi 802.11ax7 = Wi-Fi 802.11ad8 = Wi-Fi 802.11be","integer","2024-07-22","1"
"is_device_valid","Indicates the device has a valid device_id","text","2024-07-22","5"
"is_location_valid","Indicates the device reported a valid location","text","2024-07-22","5"
"is_airplane_mode","Indicates whether the device was in airplane mode when data was reported.","text","2024-07-22","5"
"is_network_roaming","Indicates whether the device is roaming or not.","boolean","2024-07-22","5"
"is_international_roaming","Indicates whether the device is international roaming or not.","boolean","2024-07-22","5"
"attr_geohash6","Geohash 6 is a unique identifier of an area of 1.2km x 609.4m","text","2024-12-01","6"
"attr_geohash7","Geohash 7 is a unique identifier of an area of 152.9m x 152.4m","text","2024-12-01","7"
"attr_geohash8","Geohash 8 is a unique identifier of an area of 38.2m x 19m","text","2024-12-01","8"
"is_device_5g_capable","Is device 5G capable","boolean","2024-12-01","5"
"id_location_building","The unique Building ID where the measurement was estimated to have been captured. If NULL then the measurement was not tagged as being captured indoor.","text","2025-03-31","255"
"val_indoor_confidence_level","The percentage (0% - 100%) level of likelihood that the measurement was captured indoor. If NULL then the measurement was not tagged as being captured indoor.","float","2025-03-31","6"
"is_cell_network_registered","Boolean to check if the cell is registered to the network.","boolean","2025-06-30","5"
"val_signal_ecno","Get the Ec/ No (Energy per chip over the noise spectral density) as dB. Reference: TS 25.133 Section 9.1.2.3. Returns: the Ec/ No of the measured cell in the range [-24, 1] or UNAVAILABLE if unavailable","text","2025-06-30","3"
"attr_signal_rscp","The RSCP (Received Signal Code Power denotes the power measured by a receiver on a particular physical communication channel. It is used as an indication of signal strength, as a handover criterion, in downlink power control, and to calculate path loss.) in ASU 0..96, 255, or UNAVAILABLE.","text","2025-06-30","4"
"val_network_bsic_code","Retrieves the Base Station Identity Code. Supported for 2G and 3G.","text","2025-06-30","2"
"attr_cell_secondary_tac","GSM, WCDMA. A 16-bit integer representing a secondary cell's location within a given operator's system.","number","2025-09-05","20"
"id_cell_secondary","The secondary cell ID that the device is connected to during the test.","number","2025-09-05","10"
"attr_cell_secondary_pci","Secondary Physical Cell Identity.","number","2025-09-05","5"
"attr_cell_secondary_arfcn","Secondary Absolute Radio Frequency Channel Number (ARFCN)","number","2025-09-05","7"
"id_gsm_cell","The GSM Cell ID","number","2025-10-24","32"
"id_radio_access_technology_type_raw","The raw reported value of access technology type","number","2025-10-24","32"
"attr_location_h3_index","Location set by hexbin H3.","number","2025-11-17","50"
"attr_data_source_name","The source of the record to be from BGS or QoE or Combined.","text","2025-11-17","100"
"attr_cell_nr_pci","New Radio Physical Cell Identity. An integer to identify the physical nr cell the user is connected to. The value is unique to the physical cell antennae rather than a specific cell tower. Valid values are 0 to 1007.","number","2025-11-17","10"
"attr_radio_access_technology_type_name","Filter field to differentiate All Cell or 5G measurements for CQoE data points. Segmentations are: 2G, 3G, 4G, NR_Advanced, NR_SA_MMWAVE, 4G_CA, NR_NSA_MMWAVE, NR_SA, WIFI, Cellular, NR_NSA, Unknown. ","text","2025-12-30","225"
"id_connection_net_speed","User ISP/connection type (estimated). 0 = Unknown, 1 = Dialup, 2 = Cable/DSL, 3 = Corporate and 4=Cellular, 5 = Satellite.","number","2026-02-18","1"
