"Field Name in Extract","Definition","Data Type","Date Available","Max Field Size"
"build_id","The Android build ID reflects the version of Android installed on the device. The build ID typically follows a standard convention of AAA##A, but some device manufacturers chose to implement their own convention. More information about Android build IDs can be found at https://source.android.com/source/build-numbers.html.","text","2020-10-01","255"
"manufacturer","The device manufacturer.","text","2020-10-01","255"
"model","User device's model.","text","2020-10-01","255"
"product","The internal product code of the device. This is typically the same as the device codename, but occassionally differs.","text","2020-10-01","255"
"device_storage_a","maximum capacity in megabytes of UE file system, excluding any secondary storage such as SD cards","number","2020-10-01","19"
"device_software_version_a","The software version found on the device.","text","2020-10-01","2"
"device_ram_a","maximum system memory in megabytes available to UE kernel","number","2020-10-01","19"
"chipset_name_a","Ookla-maintained device chipset name.","text","2020-10-01","255"
"chipset_manufacturer_a","Ookla-maintained device chipset manufacturer name.","text","2020-10-01","255"
"radio_a","The version string for the radio firmware.","text","2020-10-01","255"
"xpixels_s","The absolute width of the device display in pixels.","number","2020-10-01","5"
"ypixels_s","The absolute height of the device display in pixels.","number","2020-10-01","5"
"xdpi_s","The exact physical pixels per inch of the device screen in the X dimension.","number","2020-10-01","10"
"ydpi_s","The exact physical pixels per inch of the device screen in the Y dimension.","number","2020-10-01","10"
"generalized_size_s","Generalized size of the user's device: 1=small, 2=normal, 3=large, 4=xlarge","number","2020-10-01","5"
"generalized_dpi_s","Generalized DPI of the user's device: 480=xxhdpi, 320=xhdpi, 240=hdpi, 160=mdpi, 120=ldpi","number","2020-10-01","5"
"orientation_s","Orientation of the user's device during test: 0=undefined, 1=portrait, 2=landscape, 3=square","number","2020-10-01","4"
"is_rooted_a","This indicates that the device allows running applications with root level permissions and may be running software that could cause the device to report false information. 0 = False, 1 = True","number","2020-10-01","1"
"is_airplane_mode_a","Indicates whether the device was in airplane mode when data was reported.  0 = not in airplane mode, 1 = airplane mode","number","2020-10-01","1"
"licensee_app_name","Name of the licensee's application that the SDK is in","text","2020-10-01","50"
"licensee_app_version","Version of the licensee's application that the SDK is in","text","2020-10-01","50"
"sdk_version","Version of the Speedtest SDK used for the test","text","2020-10-01","50"
"android_api_a","Android OS API version of device.","number","2020-10-01","3"
"tac_a","LTE Tracking Area Code. A 16 bit integer used to facilitate handoff of a device between cells. The Tracking Area Identity can be determined by prepending the MCC and MNC to the Tracking Area Code.","number","2020-10-01","9"
"data_connection_type_a","This connection type is recorded upon test completion and can be used to match up the starting connection type for consistency.  0=Mobile, 1=WiFi, 2=Mobile MMS, 3=Mobile Supl, 4=Mobile Dun, 5=Mobile Hipri, 6=WiMax, 7=Bluetooth, 8=Unknown, 9=Ethernet","number","2020-10-01","5"
"cell_bandwidth_a","Cell bandwidth in kHz","number","2020-10-01","6"
"rssnr_a","Reference Signal Signal-to-Noise Ratio Perhaps the most important KPI, but it's rarely properly reported in Android OS. It's the ratio between the noise and signal of the LTE data transmission. Range is -30 to +30, where +30 is best","number","2020-10-01","3"
"rsrq_a","Reference Signal Received Quality The received quality of the LTE reference signal. Range: -19.5 to -3, where -3 is best","number","2020-10-01","5"
"rsrp_a","Reference Signal Received Power.  LTE metric displaying the received power of the reference LTE signal, similar to the old school ""signal strength"".  Range: -40 to -140, where -140 is the worst and -44 is the highest the device will report","number","2020-10-01","4"
"phone_type_a","The type of phone used. 0 = None, 1 = GSM, 2 = CDMA, 3 = SIP","number","2020-10-01","3"
"start_cell_id_a","The starting ID of either the GSM or CDMA ID. It is useful to compare this to cdma_cell_id or gsm_cell_id to determine if the cell id changed during testing.","number","2020-10-01","10"
"gsm_cell_id","User's GSM cell ID; also the cid.","number","2020-10-01","11"
"gsm_lac_a","GSM Location Area Code from the device.","number","2020-10-01","5"
"arfcn_a","The Absolute Radio Frequency Channel Number (ARFCN) is a unique number given to each radio channel in GSM. The ARFCN can be used to calculate the exact frequency of the radio channel. Within the GSM900 band ARFCN 1 to 124 are used. In the GSM1800 band ARFCN 512 to 885 are used.","number","2020-10-01","8"
"uarfcn_a","The UTRA Absolute Radio Frequency Channel Number (UARFCN) is a unique number given to each radio channel within the frequency bands used by the UMTS UTRA. The UARFCN can be used to calculate the carrier frequency.","number","2020-10-01","8"
"earfcn_a","EARFCN stands for E-UTRA Absolute Radio Frequency Channel Number.In LTE, the carrier frequency in the uplink and downlink is designated by EARFCN, which ranges between 0-65535. EARFCN uniquely identify the LTE band and carrier frequency. ... EARFCN is independent of channel bandwidth.","number","2020-10-01","8"
"base_station_id_a","CDMA Base Station ID. Valid values range from 0 to 65535, with 65535 representing unknown.","number","2020-10-01","5"
"cdma_cell_id","User's CDMA cell ID; also the base_station_id.","number","2020-10-01","10"
"cdma_level_a","CDMA signal level 0 to 4","number","2020-10-01","3"
"cdma_ecio_a","CDMA Ec/Io value in dB*10","number","2020-10-01","11"
"cdma_dbm_a","CDMA Signal strength value in dBm","number","2020-10-01","11"
"system_id_a","CDMA System ID. This ID identifies large subsets of an operator's wireless network. IDs are only unique per operator. Valid values range from 0 to 65535, with 65535 representing unknown.","number","2020-10-01","5"
